id;dni;apelllido;nombre;fecha_nacimiento;edad;sexo;estado
1;44717;Cambridgeshire;Wooden Coordinator;2020-01-22;66;Hombre;false
2;96629;copying solid state Cliff;Sleek Cambridgeshire;2020-01-22;49;Mujer;true
3;74760;Product Unbranded;Program Rubber auxiliary;2020-01-22;58;Hombre;false
4;64090;mission-critical;Brazilian Real Intelligent Wooden Hat SAS;2020-01-22;140;Mujer;false
5;86954;PCI;Investor Direct Persistent;2020-01-22;40;Otro;true
6;96270;tan;Tokelau framework;2020-01-22;27;Mujer;true
7;58833;Avon 24/7 Gorgeous;auxiliary New Jersey Practical Metal Gloves;2020-01-22;111;Hombre;false
8;68874;solid state models;Chips Gorgeous;2020-01-22;8;Hombre;false
9;64888;incubate Compatible Refined;compressing Salad;2020-01-22;65;Mujer;false
10;51230;brand multi-byte Visionary;COM optical;2020-01-22;99;Hombre;true
